,name,rating,review_count,Zip,Median Income,Poverty Rate,Minority Rate,acres
32,Del Mar Trails Park,4.5,7,92130,125850,0.041299125976463937,0.3736825166948266,2.99971134
33,Windwood Park,3.5,3,92130,125850,0.041299125976463937,0.3736825166948266,1.17300982
34,Solana Highlands Park,4.0,2,92130,125850,0.041299125976463937,0.3736825166948266,11.81222032
35,Sunset Cliffs Natural Park,5.0,935,92107,61764,0.09759707130895354,0.1805859853689331,67.1093743
36,Dusty Rhodes Park,4.0,125,92107,61764,0.09759707130895354,0.1805859853689331,20.49832015
37,Ocean Beach Park,3.5,3,92107,61764,0.09759707130895354,0.1805859853689331,1.28509284
38,Cuvier Park,4.5,24,92107,61764,0.09759707130895354,0.1805859853689331,0.61052286
39,Miramar Overlook Park,4.5,28,92131,123821,0.03409721208582689,0.37662413331002736,6.09007945
40,Hoyt Park,4.5,5,92131,123821,0.03409721208582689,0.37662413331002736,3.13788446
41,Briercrest Park,4.0,20,92131,123821,0.03409721208582689,0.37662413331002736,3.47321581
42,San Carlos Park,5.0,8,92119,74070,0.060255629945222156,0.2726246798906202,9.78882995
43,Big Rock Park,4.5,31,92119,74070,0.060255629945222156,0.2726246798906202,5.67432924
44,Mission Trails Regional Park,4.5,360,92120,77212,0.08298117556665387,0.27714340271147603,451.53747418
45,Mission Trails Regional Park,4.5,360,92120,77212,0.08298117556665387,0.27714340271147603,1521.4007443
46,Mission Trails Regional Park,4.5,22,92124,75508,0.06316658411754994,0.3901490175392325,451.53747418
47,Mission Trails Regional Park,4.5,22,92124,75508,0.06316658411754994,0.3901490175392325,1521.4007443
48,Tijuana River Valley Regional Park,4.5,11,92120,77212,0.08298117556665387,0.27714340271147603,1778.8264761
49,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,4.00597846
50,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,20.10884835
51,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,61.08996538
52,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,14.66796402
53,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,428.26548927
54,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,60.18197433
55,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,27.39125432
56,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,21.84080841
57,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,3.92237647
58,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,168.43786353
